Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	813c3a79-451e-4935-910b-cfd879dd6a3b	Cell			CTX	Polygon	2822.7	5764.7	1512.067	141.7705	0.9454	49.3066	39.9569	0.5788	649.8568	180.8389	1685	289	569.1257	97.4836	807	289
4.czi	a6418015-4f97-4ff8-99bd-1114e465052f	Cell			CTX	Polygon	2947.3	5773.3	1899.5651	163.4991	0.893	53.2411	47.9064	0.4551	373.9775	69.6493	729	222	342.5464	40.6915	472	222
4.czi	ac204675-c937-42cd-8ce4-99cc61fc0426	Cell			CTX	Polygon	2315.2	5779.4	1396.642	135.7301	0.9527	46.8351	38.6098	0.5528	377.7001	90.6078	827	215	341.677	55.2973	547	215
4.czi	24c8795a-5773-4188-b3a3-afa734fbaeaa	Cell			CTX	Polygon	2543.2	5782.4	1790.7358	156.3101	0.921	55.4996	41.7129	0.6686	322.1761	66.7117	551	207	286.9842	35.6919	458	207
4.czi	ae17c4b5-3fb2-40b8-8730-d5ef6a9d64be	Cell			CTX	Polygon	2728.4	5784.3	1834.4324	158.2979	0.9199	56.7292	41.4131	0.6957	408.3362	116.4254	745	217	347.3314	75.5858	558	217
4.czi	3fbfd2eb-9f16-4491-a79c-1ea8ef9393fd	Cell			CTX	Polygon	2453.3	5808.4	1801.4538	157.0145	0.9182	53.4201	44.7024	0.5432	410.6027	100.878	805	219	362.8218	68.9872	571	219
4.czi	a44db8fc-7ea6-4147-9260-ffa215fc892a	Cell			CTX	Polygon	2150.4	5808	1775.8955	159.3996	0.8783	55.3485	43.5891	0.626	416.8082	102.8862	844	232	366.3071	60.2831	540	232
4.czi	f8dcb6a8-cbc8-4cb2-917e-97a84bb731f2	Cell			CTX	Polygon	2402.9	5817.1	1860.8152	163.9349	0.8701	55.8179	40.1236	0.7124	511.7289	138.2309	1246	247	449.4389	68.2902	659	247
4.czi	3d9481b5-3ab3-49f2-9715-5b4732abf943	Cell			CTX	Polygon	2664.5	5824.5	1953.9797	169.8304	0.8513	60.8262	44.4006	0.7025	383.6653	103.493	930	226	336.6042	52.4832	507	226
4.czi	6db69b40-aaca-46d1-8daf-53b9334b5704	Cell			CTX	Polygon	2595.6	5845.9	1907.8097	166.2404	0.8675	60.6593	40.0971	0.7615	549.1396	199.7129	1629	218	457.3052	106.0001	726	218
4.czi	5ae152e8-56d1-4262-9e71-31c743f0ca09	Cell			CTX	Polygon	2055.2	5839.2	1555.7636	145.4199	0.9245	50.2542	42.0596	0.5134	354.6554	150.6403	3189	193	286.0492	56.8007	520	193
4.czi	262b8f24-6ac5-4b01-bdf2-eb26d9379cbf	Cell			CTX	Polygon	2865.2	5868.9	1448.5832	138.6831	0.9465	48.8587	38.5233	0.6188	504.3965	165.0217	1383	213	432.3891	86.9909	638	213
4.czi	48111ae7-4ff6-43fc-a407-093404a3e1ce	Cell			CTX	Polygon	3002.3	5875.6	1315.8445	131.3952	0.9578	42.908	39.7949	0.2913	391.2408	119.0806	926	195	345.0317	78.1511	532	195
4.czi	9d758540-fc06-4da6-afb7-bbd0f67fa552	Cell			CTX	Polygon	2730.9	5885	1199.5951	130.6219	0.8835	45.2283	32.142	0.7109	354.2272	73.2566	566	221	316.9301	47.0147	446	221
4.czi	e26efe3e-fd84-490f-9cd2-5668d68a8b79	Cell			CTX	Polygon	2760.5	5882.2	1111.3775	126.2978	0.8755	43.4974	33.351	0.5992	375.2655	92.0082	693	226	324.3337	52.3428	471	226
4.czi	8160c96f-3798-4a37-8ddd-3ad5f8ab9e6d	Cell			CTX	Polygon	2287.9	5904.2	1296.8819	129.9968	0.9644	43.9138	38.3604	0.4379	460.8539	124.4196	1130	217	410.686	66.3751	613	217
4.czi	915b0a8a-d1d6-4f25-b0b2-71e4d7cd34a0	Cell			CTX	Polygon	1978.7	5922.3	2747.9385	208.5736	0.7938	74.1478	48.991	0.7703	472.6954	115.28	802	230	412.8363	80.3768	637	230
4.czi	bf051c2e-e2db-4453-8c02-910fe8c86d0e	Cell			CTX	Polygon	2776	5913.1	1106.4307	121.999	0.9342	41.0149	35.1069	0.493	334.1403	88.7312	712	219	294.173	48.2754	463	219
4.czi	f59ebdfa-eac8-4ec4-a602-27113d0670b9	Cell			CTX	Polygon	3018	5922.7	1828.6612	164.4579	0.8496	61.479	37.2693	0.8117	675.2559	226.362	1797	262	571.9307	113.6586	916	262
4.czi	fee1aeea-2318-4c9d-9d38-4c2bbcece7bd	Cell			CTX	Polygon	2505.8	5933	1453.53	138.1035	0.9577	48.753	39.03	0.5887	418.8741	85.6254	881	257	383.5918	44.9423	507	257
